row_id,serial_no,status,temp,accel_x,accel_y,air_gas
135,LASER-HARDWARE-01,RUNNING,23.43,-0.04,-0.033,0.87
136,LASER-HARDWARE-01,RUNNING,25.64,-0.19,0.079,0.81
137,LASER-HARDWARE-01,RUNNING,28.31,-0.099,0.07,0.86
138,LASER-HARDWARE-01,RUNNING,26.17,0.253,-0.119,0.73
139,LASER-HARDWARE-01,RUNNING,25.36,-0.141,0.23,0.83
140,LASER-HARDWARE-01,RUNNING,24.64,-0.518,-0.234,0.81
141,LASER-HARDWARE-01,RUNNING,23.42,0.035,0.505,0.82
142,LASER-HARDWARE-01,RUNNING,26.9,-0.373,0.215,0.93
143,LASER-HARDWARE-01,RUNNING,24.41,0.089,-0.239,0.76
144,LASER-HARDWARE-01,RUNNING,23.11,0.155,-0.543,0.81
145,LASER-HARDWARE-01,RUNNING,25.53,-0.436,-0.637,0.79
146,LASER-HARDWARE-01,RUNNING,24.68,0.534,0.081,0.85
147,LASER-HARDWARE-01,RUNNING,24.33,-0.394,0.011,0.84
148,LASER-HARDWARE-01,RUNNING,27.32,0.23,-0.006,0.79
149,LASER-HARDWARE-01,RUNNING,26.03,0.313,-0.722,0.8
150,LASER-HARDWARE-01,RUNNING,25.99,0.23,-0.754,0.85
151,LASER-HARDWARE-01,RUNNING,23.68,0.136,0.901,0.8
152,LASER-HARDWARE-01,RUNNING,24.33,0.453,-0.377,0.84
153,LASER-HARDWARE-01,RUNNING,26.45,-0.452,-0.681,0.79
154,LASER-HARDWARE-01,RUNNING,28.82,0.028,0.197,0.73
155,LASER-HARDWARE-01,RUNNING,25.11,-0.811,0.222,0.85
156,LASER-HARDWARE-01,RUNNING,23.48,-0.66,-0.55,0.82
157,LASER-HARDWARE-01,RUNNING,23.16,-0.177,-0.408,0.75
158,LASER-HARDWARE-01,RUNNING,25.07,-0.333,-0.152,0.79
159,LASER-HARDWARE-01,RUNNING,24.43,0.376,-0.111,0.74
160,LASER-HARDWARE-01,RUNNING,30.3,-0.509,-0.249,0.78
161,LASER-HARDWARE-01,RUNNING,25.04,0.373,-0.134,0.78
162,LASER-HARDWARE-01,RUNNING,26.53,0.59,-0.566,0.85
163,LASER-HARDWARE-01,RUNNING,24.53,-0.034,-0.546,0.73
164,LASER-HARDWARE-01,RUNNING,25.72,0.076,-0.536,0.76
165,LASER-HARDWARE-01,RUNNING,25.96,0.577,0.291,0.73
166,LASER-HARDWARE-01,RUNNING,22.84,0.648,0.507,0.79
167,LASER-HARDWARE-01,RUNNING,30.22,0.116,0.293,0.87
168,LASER-HARDWARE-01,RUNNING,26.07,-0.511,0.716,0.83
169,LASER-HARDWARE-01,RUNNING,26.57,0.002,0.47,0.75
170,LASER-HARDWARE-01,RUNNING,23.54,0.045,0.443,0.74
171,LASER-HARDWARE-01,RUNNING,27.11,-0.691,-0.337,0.77
172,LASER-HARDWARE-01,RUNNING,27.93,0.525,0.305,0.8
173,LASER-HARDWARE-01,RUNNING,21.79,-0.121,0.553,0.72
174,LASER-HARDWARE-01,RUNNING,25.14,-0.717,-0.315,0.87
175,LASER-HARDWARE-01,RUNNING,28.59,-0.256,-0.452,0.82
176,LASER-HARDWARE-01,RUNNING,22.75,-0.212,0.131,0.85
177,LASER-HARDWARE-01,RUNNING,23.64,-0.475,0.117,0.91
178,LASER-HARDWARE-01,RUNNING,23.68,-0.282,-0.44,0.74
179,LASER-HARDWARE-01,RUNNING,27.82,-0.759,-0.111,0.77
180,LASER-HARDWARE-01,RUNNING,22.95,-0.061,0.074,0.74
181,LASER-HARDWARE-01,RUNNING,22.73,-0.125,-0.036,0.76
182,LASER-HARDWARE-01,RUNNING,26.61,0.448,0.098,0.79
183,LASER-HARDWARE-01,RUNNING,23.28,-0.034,0.61,0.82
184,LASER-HARDWARE-01,RUNNING,25.47,-0.307,0.457,0.87
185,LASER-HARDWARE-01,RUNNING,25.66,0.625,0.331,0.81
186,LASER-HARDWARE-01,RUNNING,23.84,-0.616,0.461,0.67
187,LASER-HARDWARE-01,RUNNING,25.17,0.56,0.443,0.77
188,LASER-HARDWARE-01,RUNNING,29.62,-0.423,-0.905,0.8
189,LASER-HARDWARE-01,RUNNING,27.53,0.23,0.082,0.85
190,LASER-HARDWARE-01,RUNNING,26.62,0.006,-0.492,0.78
191,LASER-HARDWARE-01,RUNNING,24.11,-0.106,0.682,0.76
192,LASER-HARDWARE-01,RUNNING,28.28,0.309,0.593,0.8
193,LASER-HARDWARE-01,RUNNING,27.06,-0.003,0.31,0.75
194,LASER-HARDWARE-01,RUNNING,23.8,-0.038,-0.112,0.8
195,LASER-HARDWARE-01,RUNNING,22.31,0.447,-0.283,0.72
196,LASER-HARDWARE-01,RUNNING,26.8,0.746,-0.364,0.84
197,LASER-HARDWARE-01,RUNNING,25.92,0.308,0.129,0.85
198,LASER-HARDWARE-01,RUNNING,27.83,-0.325,-0.094,0.79
199,LASER-HARDWARE-01,RUNNING,26.28,-0.039,-0.438,0.73
200,LASER-HARDWARE-01,RUNNING,26.02,0.248,-0.114,0.76
201,LASER-HARDWARE-01,RUNNING,21.98,0.976,0.207,0.79
202,LASER-HARDWARE-01,RUNNING,26.67,0.558,-0.338,0.77
203,LASER-HARDWARE-01,RUNNING,25.53,-0.207,0.078,0.81
204,LASER-HARDWARE-01,RUNNING,26.55,-0.512,-0.602,0.83
205,LASER-HARDWARE-01,RUNNING,25.28,0.193,-0.159,0.8
206,LASER-HARDWARE-01,RUNNING,27.09,-0.543,-0.165,0.78
207,LASER-HARDWARE-01,RUNNING,25.87,0.032,-0.273,0.81
208,LASER-HARDWARE-01,RUNNING,24.86,0.177,-0.379,0.86
209,LASER-HARDWARE-01,RUNNING,24.65,-0.803,0.043,0.85
210,LASER-HARDWARE-01,RUNNING,25.62,0.649,-1.094,0.8
211,LASER-HARDWARE-01,RUNNING,23.87,-0.608,0.8,0.82
212,LASER-HARDWARE-01,RUNNING,25.38,0.18,-1.182,0.8
213,LASER-HARDWARE-01,RUNNING,22.31,0.261,0.298,0.84
214,LASER-HARDWARE-01,RUNNING,24.35,-0.578,0.465,0.81
215,LASER-HARDWARE-01,RUNNING,22.33,0.384,0.081,0.77
216,LASER-HARDWARE-01,RUNNING,24.13,0.112,-0.52,0.81
217,LASER-HARDWARE-01,RUNNING,24.0,-0.507,0.146,0.78
218,LASER-HARDWARE-01,RUNNING,26.29,0.033,0.094,0.88
219,LASER-HARDWARE-01,RUNNING,27.5,0.276,-0.039,0.85
220,LASER-HARDWARE-01,RUNNING,21.77,0.319,0.298,0.87
221,LASER-HARDWARE-01,FAULT,26.13,-1.116,-0.172,0.77
222,LASER-HARDWARE-01,RUNNING,28.43,0.316,0.496,0.78
223,LASER-HARDWARE-01,RUNNING,24.38,-0.638,-0.502,0.77
224,LASER-HARDWARE-01,RUNNING,27.37,0.107,0.21,0.86
225,LASER-HARDWARE-01,RUNNING,27.61,-0.358,-0.122,0.75
226,LASER-HARDWARE-01,RUNNING,23.91,-0.2,0.688,0.82
227,LASER-HARDWARE-01,RUNNING,21.91,0.192,0.354,0.9
228,LASER-HARDWARE-01,RUNNING,26.09,-0.108,-0.426,0.73
229,LASER-HARDWARE-01,RUNNING,25.95,-0.548,0.363,0.85
230,LASER-HARDWARE-01,RUNNING,25.85,0.139,-0.174,0.89
231,LASER-HARDWARE-01,RUNNING,26.73,-0.25,0.746,0.76
232,LASER-HARDWARE-01,RUNNING,22.22,0.564,-0.278,0.74
233,LASER-HARDWARE-01,RUNNING,28.42,0.314,0.301,0.83
234,LASER-HARDWARE-01,RUNNING,24.46,0.021,0.065,0.83
235,LASER-HARDWARE-01,RUNNING,23.64,0.632,-0.157,0.88
236,LASER-HARDWARE-01,FAULT,52.61,-0.243,-0.157,0.82
237,LASER-HARDWARE-01,RUNNING,24.56,0.111,-0.593,0.88
238,LASER-HARDWARE-01,RUNNING,25.75,0.175,-0.478,0.74
239,LASER-HARDWARE-01,RUNNING,21.97,0.431,0.564,0.87
240,LASER-HARDWARE-01,RUNNING,23.35,0.414,0.081,0.92
241,LASER-HARDWARE-01,RUNNING,22.84,-0.007,-0.952,0.76
242,LASER-HARDWARE-01,RUNNING,23.43,0.219,0.525,0.8
243,LASER-HARDWARE-01,RUNNING,27.37,-0.163,0.224,0.79
244,LASER-HARDWARE-01,RUNNING,22.92,-0.73,-0.279,0.88
245,LASER-HARDWARE-01,RUNNING,28.32,0.133,-0.541,0.76
246,LASER-HARDWARE-01,RUNNING,21.06,0.904,0.082,0.83
247,LASER-HARDWARE-01,RUNNING,25.73,-0.884,-0.251,0.8
248,LASER-HARDWARE-01,RUNNING,19.91,0.096,-0.207,0.72
249,LASER-HARDWARE-01,RUNNING,23.18,0.382,0.186,0.75
250,LASER-HARDWARE-01,FAULT,19.91,-1.711,-0.798,0.85
251,LASER-HARDWARE-01,RUNNING,24.63,-0.718,-0.746,0.91
252,LASER-HARDWARE-01,RUNNING,24.17,0.794,0.123,0.75
253,LASER-HARDWARE-01,RUNNING,22.09,0.249,-0.57,0.75
254,LASER-HARDWARE-01,RUNNING,27.42,-0.086,-0.444,0.76
255,LASER-HARDWARE-01,RUNNING,22.97,-0.18,0.313,0.82
256,LASER-HARDWARE-01,RUNNING,28.49,0.857,-0.323,0.74
257,LASER-HARDWARE-01,RUNNING,22.86,-0.275,0.66,0.81
258,LASER-HARDWARE-01,RUNNING,22.7,-0.881,0.638,0.76
259,LASER-HARDWARE-01,RUNNING,25.93,0.272,-0.615,0.77
260,LASER-HARDWARE-01,RUNNING,22.67,0.284,0.383,0.73
261,LASER-HARDWARE-01,RUNNING,26.87,0.467,-0.412,0.78
262,LASER-HARDWARE-01,RUNNING,25.96,0.382,-0.374,0.87
263,LASER-HARDWARE-01,RUNNING,28.41,0.497,-0.086,0.87
264,LASER-HARDWARE-01,RUNNING,23.86,0.164,0.442,0.77
265,LASER-HARDWARE-01,RUNNING,29.19,0.384,0.345,0.78
266,LASER-HARDWARE-01,RUNNING,24.36,-0.095,0.224,0.81
267,LASER-HARDWARE-01,RUNNING,22.18,-0.202,-0.039,0.76
268,LASER-HARDWARE-01,RUNNING,24.48,-0.006,0.417,0.9
269,LASER-HARDWARE-01,RUNNING,27.32,-0.06,0.03,0.83
270,LASER-HARDWARE-01,RUNNING,22.68,-0.169,0.219,0.81
271,LASER-HARDWARE-01,RUNNING,24.47,-0.099,0.24,0.8
272,LASER-HARDWARE-01,RUNNING,25.44,0.488,-0.021,0.85
273,LASER-HARDWARE-01,RUNNING,24.89,-0.042,0.401,0.87
274,LASER-HARDWARE-01,RUNNING,22.59,-0.463,0.821,0.88
275,LASER-HARDWARE-01,RUNNING,23.87,0.437,-0.198,0.79
276,LASER-HARDWARE-01,RUNNING,24.76,0.017,0.056,0.88
277,LASER-HARDWARE-01,RUNNING,26.18,-0.258,-0.175,0.85
278,LASER-HARDWARE-01,RUNNING,26.83,0.573,0.314,0.72
279,LASER-HARDWARE-01,RUNNING,26.5,0.561,0.136,0.85
280,LASER-HARDWARE-01,RUNNING,20.67,-0.144,-0.077,0.83
281,LASER-HARDWARE-01,RUNNING,27.38,-0.185,0.242,0.81
282,LASER-HARDWARE-01,RUNNING,28.83,0.084,-0.627,0.79
283,LASER-HARDWARE-01,RUNNING,26.01,-0.204,0.108,0.83
284,LASER-HARDWARE-01,RUNNING,22.96,-0.14,-0.076,0.7
285,LASER-HARDWARE-01,RUNNING,21.41,0.208,0.562,0.71
286,LASER-HARDWARE-01,RUNNING,24.81,0.71,-0.192,0.79
287,LASER-HARDWARE-01,RUNNING,24.34,-0.513,-0.242,0.74
288,LASER-HARDWARE-01,RUNNING,22.26,-0.235,0.512,0.84
289,LASER-HARDWARE-01,RUNNING,23.61,-0.124,-0.193,0.83
290,LASER-HARDWARE-01,FAULT,28.25,0.056,0.175,0.36
291,LASER-HARDWARE-01,RUNNING,24.47,-0.227,0.746,0.71
292,LASER-HARDWARE-01,RUNNING,24.51,-0.021,0.459,0.92
293,LASER-HARDWARE-01,RUNNING,24.7,0.053,-0.849,0.83
294,LASER-HARDWARE-01,RUNNING,24.08,-0.488,-0.745,0.81
295,LASER-HARDWARE-01,FAULT,26.22,-0.733,0.035,0.78
296,LASER-HARDWARE-01,RUNNING,23.72,0.304,0.085,0.83
297,LASER-HARDWARE-01,RUNNING,20.62,-0.045,0.336,0.79
298,LASER-HARDWARE-01,FAULT,54.41,-0.137,0.858,0.85
299,LASER-HARDWARE-01,RUNNING,26.11,0.221,0.454,0.76
300,LASER-HARDWARE-01,RUNNING,22.56,0.14,0.135,0.81
301,LASER-HARDWARE-01,FAULT,22.77,-0.805,3.186,0.74
302,LASER-HARDWARE-01,RUNNING,23.08,-0.028,-0.708,0.84
303,LASER-HARDWARE-01,RUNNING,21.95,0.311,-0.4,0.76
304,LASER-HARDWARE-01,RUNNING,27.4,-0.08,0.417,0.75
305,LASER-HARDWARE-01,RUNNING,20.9,0.073,-0.089,0.79
306,LASER-HARDWARE-01,RUNNING,25.01,0.429,-0.687,0.74
307,LASER-HARDWARE-01,RUNNING,24.58,-0.037,-0.17,0.82
308,LASER-HARDWARE-01,RUNNING,24.05,-0.261,0.66,0.83
309,LASER-HARDWARE-01,RUNNING,26.24,0.618,-0.89,0.81
310,LASER-HARDWARE-01,RUNNING,28.74,-0.784,0.043,0.83
311,LASER-HARDWARE-01,RUNNING,21.48,-0.435,1.001,0.84
312,LASER-HARDWARE-01,RUNNING,24.09,-0.168,-0.095,0.77
313,LASER-HARDWARE-01,RUNNING,26.95,0.158,-0.507,0.9
314,LASER-HARDWARE-01,RUNNING,24.64,0.101,0.54,0.8
315,LASER-HARDWARE-01,RUNNING,27.56,-0.145,-0.694,0.77
316,LASER-HARDWARE-01,RUNNING,22.42,0.04,0.521,0.74
317,LASER-HARDWARE-01,RUNNING,20.97,-0.119,-0.371,0.72
318,LASER-HARDWARE-01,RUNNING,25.11,-0.867,1.234,0.82
319,LASER-HARDWARE-01,RUNNING,24.65,0.399,-0.367,0.72
320,LASER-HARDWARE-01,FAULT,25.01,-1.912,1.234,0.82
321,LASER-HARDWARE-01,RUNNING,24.44,0.046,-0.175,0.73
322,LASER-HARDWARE-01,RUNNING,30.6,0.184,-0.508,0.68
323,LASER-HARDWARE-01,RUNNING,28.94,-0.165,-0.122,0.72
324,LASER-HARDWARE-01,RUNNING,25.82,0.15,-0.38,0.83
325,LASER-HARDWARE-01,RUNNING,30.28,1.203,1.054,0.78
326,LASER-HARDWARE-01,RUNNING,25.84,0.369,-0.114,0.8
327,LASER-HARDWARE-01,RUNNING,26.03,-0.124,0.213,0.85
328,LASER-HARDWARE-01,RUNNING,24.65,0.046,-0.128,0.83
329,LASER-HARDWARE-01,RUNNING,25.32,-0.855,0.143,0.75
330,LASER-HARDWARE-01,RUNNING,23.7,-0.004,1.029,0.9
331,LASER-HARDWARE-01,RUNNING,26.57,-0.981,0.321,0.82
332,LASER-HARDWARE-01,RUNNING,26.91,0.519,-0.191,0.87
333,LASER-HARDWARE-01,RUNNING,25.76,0.121,0.077,0.74
334,LASER-HARDWARE-01,RUNNING,23.66,-0.021,-0.954,0.81
335,LASER-HARDWARE-01,RUNNING,25.22,-0.145,-0.456,0.83
336,LASER-HARDWARE-01,RUNNING,24.12,-0.339,0.057,0.78
337,LASER-HARDWARE-01,RUNNING,25.6,0.155,-0.121,0.79
338,LASER-HARDWARE-01,RUNNING,20.62,1.18,-0.067,0.78
339,LASER-HARDWARE-01,RUNNING,24.67,-0.291,0.859,0.79
340,LASER-HARDWARE-01,RUNNING,27.03,0.79,-0.515,0.84
341,LASER-HARDWARE-01,RUNNING,22.93,0.018,-0.133,0.82
342,LASER-HARDWARE-01,RUNNING,21.01,0.321,-0.132,0.89
343,LASER-HARDWARE-01,RUNNING,24.13,-0.154,-0.115,0.69
344,LASER-HARDWARE-01,RUNNING,24.9,-0.094,-0.103,0.81
345,LASER-HARDWARE-01,RUNNING,26.53,-0.005,-0.122,0.81
346,LASER-HARDWARE-01,RUNNING,28.02,-0.232,-0.572,0.8
347,LASER-HARDWARE-01,RUNNING,26.4,0.326,-0.357,0.78
348,LASER-HARDWARE-01,RUNNING,24.8,-0.202,-0.227,0.73
349,LASER-HARDWARE-01,RUNNING,26.59,-0.429,-0.193,0.78
350,LASER-HARDWARE-01,FAULT,24.43,1.894,0.677,0.79
351,LASER-HARDWARE-01,RUNNING,24.08,0.266,-0.159,0.87
352,LASER-HARDWARE-01,RUNNING,24.53,-0.205,-0.166,0.78
353,LASER-HARDWARE-01,RUNNING,25.87,-0.065,0.585,0.81
354,LASER-HARDWARE-01,RUNNING,24.96,0.281,-0.005,0.71
355,LASER-HARDWARE-01,RUNNING,25.26,0.512,0.411,0.87
356,LASER-HARDWARE-01,RUNNING,28.92,0.229,0.428,0.8
357,LASER-HARDWARE-01,RUNNING,27.48,-0.101,-0.121,0.81
358,LASER-HARDWARE-01,RUNNING,27.56,0.634,-0.109,0.78
359,LASER-HARDWARE-01,RUNNING,19.17,0.612,0.611,0.83
360,LASER-HARDWARE-01,RUNNING,25.55,-0.153,-0.039,0.77
361,LASER-HARDWARE-01,RUNNING,25.39,-0.356,0.276,0.88
362,LASER-HARDWARE-01,RUNNING,22.95,-0.595,-0.059,0.76
363,LASER-HARDWARE-01,RUNNING,25.32,0.552,0.22,0.87
364,LASER-HARDWARE-01,RUNNING,25.59,0.366,-0.592,0.81
365,LASER-HARDWARE-01,FAULT,52.13,0.326,0.579,0.8
366,LASER-HARDWARE-01,RUNNING,24.73,-0.162,0.702,0.79
